policy_생계급여,policy_의료급여,policy_주거급여,policy_교육급여,policy_공적연금,policy_고용보험,policy_산재보험,policy_자활근로,age,gender,household_size,marriage,edu,job_yn,employ_type,income_monthly,income_annual,region,hc,pension_type,health_insurance
0,0,0,0,1.0,0.0,0.0,0,70,남,2,기혼,대학이상,취업,임시일용근로자,298.7,3584.0,3,1,1,1
0,0,0,0,1.0,0.0,0.0,0,70,여,2,기혼,대학이상,미취업,무직,298.7,3584.0,3,1,1,2
0,0,0,0,0.0,0.0,0.0,0,35,여,2,기혼,대학이상,취업,상용근로자,846.3,10156.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,37,남,2,기혼,대학이상,취업,상용근로자,846.3,10156.0,3,1,2,1
0,0,1,0,1.0,0.0,0.0,0,77,남,1,미혼,대학이상,미취업,무직,118.8,1426.0,3,2,1,2
0,0,0,0,1.0,0.0,0.0,0,64,여,1,미혼,고졸이하,취업,임시일용근로자,256.3,3076.0,4,1,1,1
0,0,0,0,0.0,0.0,0.0,0,54,남,4,기혼,대학이상,취업,상용근로자,749.6,8995.0,7,1,2,1
0,0,0,0,0.0,0.0,0.0,0,53,여,4,기혼,대학이상,취업,상용근로자,749.6,8995.0,7,1,2,1
0,0,0,0,0.0,0.0,0.0,0,20,여,4,미혼,대학이상,미취업,무직,749.6,8995.0,7,1,0,2
0,0,0,0,,,,0,18,남,4,미혼,대학이상,미취업,무직,749.6,8995.0,7,1,0,2
0,0,0,0,0.0,0.0,0.0,0,54,남,3,기혼,고졸이하,취업,상용근로자,526.5,6318.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,55,여,3,기혼,고졸이하,미취업,무직,526.5,6318.0,3,1,0,2
0,0,0,0,,,,0,19,여,3,미혼,대학이상,미취업,무직,526.5,6318.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,54,남,4,기혼,고졸이하,취업,무급가족종사자,503.6,6043.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,51,여,4,기혼,고졸이하,미취업,무직,503.6,6043.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,24,여,4,미혼,고졸이하,미취업,무직,503.6,6043.0,3,1,0,2
0,0,0,0,,,,0,19,여,4,미혼,고졸이하,미취업,무직,503.6,6043.0,3,1,0,2
0,0,0,0,1.0,0.0,0.0,0,47,여,3,미혼,대학이상,취업,상용근로자,401.4,4817.0,3,1,3,1
0,0,0,0,,,,0,19,남,3,미혼,대학이상,미취업,무직,401.4,4817.0,3,1,0,2
0,0,0,0,,,,0,17,남,3,미혼,대학이상,미취업,무직,401.4,4817.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,52,남,3,기혼,대학이상,취업,상용근로자,1200.0,14400.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,52,여,3,기혼,대학이상,취업,임시일용근로자,1200.0,14400.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,29,남,1,미혼,대학이상,취업,상용근로자,321.5,3858.0,2,1,2,1
0,0,0,0,0.0,0.0,0.0,0,24,여,3,미혼,대학이상,취업,상용근로자,1200.0,14400.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,55,남,3,기혼,고졸이하,취업,상용근로자,1348.5,16182.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,52,여,3,기혼,고졸이하,취업,상용근로자,1348.5,16182.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,24,여,3,미혼,고졸이하,미취업,무직,1348.5,16182.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,55,남,3,기혼,대학이상,취업,상용근로자,831.7,9980.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,53,여,3,기혼,대학이상,취업,임시일용근로자,831.7,9980.0,3,1,2,1
0,0,0,0,,,,0,18,남,3,미혼,대학이상,미취업,무직,831.7,9980.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,47,여,4,기혼,고졸이하,취업,임시일용근로자,775.0,9300.0,3,1,2,2
0,0,0,0,0.0,0.0,0.0,0,55,남,4,기혼,고졸이하,취업,상용근로자,775.0,9300.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,26,여,4,미혼,고졸이하,미취업,무직,775.0,9300.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,22,여,4,미혼,고졸이하,미취업,무직,775.0,9300.0,3,1,0,2
0,0,0,0,1.0,0.0,0.0,0,88,여,1,기혼,대학이상,미취업,무직,172.5,2070.0,3,2,1,2
0,0,0,0,0.0,0.0,0.0,0,53,남,1,미혼,고졸이하,취업,상용근로자,665.0,7980.0,3,1,2,1
0,0,0,0,1.0,0.0,0.0,0,71,남,1,미혼,대학이상,취업,무급가족종사자,67.8,813.0,3,2,1,2
0,0,0,0,0.0,0.0,0.0,0,58,여,2,기혼,고졸이하,취업,상용근로자,668.4,8021.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,39,여,4,기혼,대학이상,취업,임시일용근로자,823.2,9878.0,3,1,2,2
0,0,0,0,0.0,0.0,0.0,0,35,여,4,기혼,고졸이하,미취업,무직,668.3,8020.0,7,1,0,2
0,0,0,0,0.0,0.0,0.0,0,32,남,3,기혼,대학이상,취업,상용근로자,419.0,5028.0,3,1,2,1
0,0,0,0,0.0,0.0,0.0,0,41,남,4,기혼,대학이상,취업,상용근로자,823.2,9878.0,3,1,2,1
0,0,0,0,,,,0,14,여,4,미혼,대학이상,미취업,무직,823.2,9878.0,3,1,0,2
0,0,0,0,,,,0,10,여,4,미혼,대학이상,미취업,무직,823.2,9878.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,36,남,4,기혼,대학이상,취업,상용근로자,668.3,8020.0,7,1,2,1
0,0,0,0,,,,0,9,남,4,미혼,대학이상,미취업,무직,668.3,8020.0,7,1,0,2
0,0,0,0,,,,0,3,여,4,미혼,대학이상,미취업,무직,668.3,8020.0,7,1,0,2
0,0,0,0,1.0,0.0,0.0,0,71,남,2,기혼,고졸이하,취업,임시일용근로자,668.4,8021.0,3,1,1,1
0,0,0,0,0.0,0.0,0.0,0,33,여,3,기혼,대학이상,미취업,무직,419.0,5028.0,3,1,0,2
0,0,0,0,,,,0,3,남,3,미혼,대학이상,미취업,무직,419.0,5028.0,3,1,0,2
0,0,0,0,0.0,0.0,0.0,0,54,남,4,기혼,고졸이하,취업,무급가족종사자,1458.9,17507.0,6,1,2,3
